Provincia;Municipio;Localidad;Codigo_postal;Direccion;Margen;Longitud;Latitud;Precio_gasolina_95;Precio_gasoleo_A;Precio_gasoleo_B;Precio_bioetanol;Precio_nuevo_gasoleo_A;Precio_biodiesel;Porc_ester_metilico;Porc_bioalcohol;Precio_gasolina_98;Precio_gas_natural_comprimido;Precio_gas_natural_licuado;Precio_gases_licuados_del_petroleo;Rotulo;Tipo_venta;Rem.;Horario
MÁLAGA;MÁLAGA;MALAGA;29004;CALLE TUICIDES, 14;N;-4,461917;36,691611;1,079;0,999;;;1,059;;;;;;;;GALP;P;OM;L-D: 07:00-23:00
MÁLAGA;MÁLAGA;MALAGA;29004;CARRETERA CADIZ KM. 241;N;-4,458750;36,688417;1,099;0,999;;;1,029;;;;1,259;;;;CARREFOUR;P;dm;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29004;AVENIDA VELAZQUEZ, S/N;N;-4,466722;36,683972;1,099;0,994;;;1,073;;;;1,239;;;;SHELL;P;OM;L-D: 07:00-16:00
MÁLAGA;MÁLAGA;MALAGA;29004;AVENIDA ALFONSO PONCE DE LEON, 3;N;-4,479972;36,654472;1,149;1,034;;;1,114;;;;1,289;;;;SHELL ;P;OM;L-D: 06:00-00:00
MÁLAGA;MÁLAGA;MALAGA;29004;CALLE ESTEBAN SALAZAR CHAPELA, 28;N;-4,477556;36,693583;1,049;0,939;;;;;;;;;;;SHELL;P;OM;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29004;CALLE LICURGO, 2;D;-4,462361;36,693556;1,029;0,919;;;;;;;;;;;PETROPRIX;P;dm;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29004;AVENIDA VELAZQUEZ, 208;D;-4,468444;36,682167;1,149;1,049;;;1,109;;;;1,279;;;;REPSOL;P;OM;L-D: 07:00-15:00
MÁLAGA;MÁLAGA;MALAGA;29004;CL HERMANOS LUMIERE, SN;D;-4,461806;36,694306;1,149;1,049;;;1,109;;;;1,279;;;;REPSOL;P;OM;L-D: 07:00-16:00
MÁLAGA;MÁLAGA;MALAGA;29004;AVENIDA VELAZQUEZ, 104;I;-4,457000;36,691306;1,149;1,049;;;1,109;;;;1,279;;;;REPSOL;P;OM;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29004;CALLE RUSIA, 4;D;-4,493000;36,707444;1,149;1,044;;;1,134;;;;1,291;;;;BP ES GUADALHORCE;P;dm;L-D: 24H
MÁLAGA;MÁLAGA;MALAGA;29004;CALLE HERMAN HESSE, 5;D;-4,471028;36,687944;1,069;0,989;;;1,049;;;;1,269;;;;GALP;P;dm;L-V: 06:00-22:00, S: 08:00-22:00, D: 08:00-15:00
MÁLAGA;MÁLAGA;MALAGA;29004;AVENIDA VELAZQUEZ, 290;N;-4,477556;36,673778;1,151;1,044;;;1,134;;;;1,291;;;;BP;P;dm;L-D: 06:00-22:00
